supplier_id,supplier_name,trust_score,region
SUPP_0053,Label_Group_53,0.96,APAC
SUPP_0054,Label_Group_54,0.84,US
SUPP_0055,Label_Group_55,0.97,US
SUPP_0056,Label_Group_56,0.64,LATAM
SUPP_0057,Label_Group_57,0.68,APAC
SUPP_0058,Label_Group_58,0.62,EMEA
SUPP_0059,Label_Group_59,0.73,LATAM
SUPP_0060,Label_Group_60,0.76,US
SUPP_0061,Label_Group_61,0.71,US
SUPP_0062,Label_Group_62,0.93,APAC
SUPP_0063,Label_Group_63,0.74,US
SUPP_0064,Label_Group_64,0.71,EMEA
SUPP_0065,Label_Group_65,0.82,APAC
SUPP_0066,Label_Group_66,0.66,US
SUPP_0067,Label_Group_67,0.92,APAC
SUPP_0068,Label_Group_68,0.63,US
SUPP_0069,Label_Group_69,0.99,US
SUPP_0070,Label_Group_70,0.91,US
SUPP_0071,Label_Group_71,0.68,EMEA
SUPP_0072,Label_Group_72,0.6,EMEA
SUPP_0073,Label_Group_73,0.93,APAC
SUPP_0074,Label_Group_74,0.88,US
SUPP_0075,Label_Group_75,0.89,US
SUPP_0076,Label_Group_76,0.91,EMEA
SUPP_0077,Label_Group_77,0.63,US
SUPP_0078,Label_Group_78,0.74,EMEA
SUPP_0079,Label_Group_79,0.65,US
SUPP_0080,Label_Group_80,0.95,APAC
SUPP_0081,Label_Group_81,0.85,US
SUPP_0082,Label_Group_82,0.73,US
SUPP_0083,Label_Group_83,0.63,LATAM
SUPP_0084,Label_Group_84,0.72,EMEA
SUPP_0085,Label_Group_85,0.73,US
SUPP_0086,Label_Group_86,0.89,US
SUPP_0087,Label_Group_87,0.86,LATAM
SUPP_0088,Label_Group_88,0.95,LATAM
SUPP_0089,Label_Group_89,0.79,EMEA
SUPP_0090,Label_Group_90,0.65,LATAM
SUPP_0091,Label_Group_91,0.89,APAC
SUPP_0092,Label_Group_92,0.9,LATAM
SUPP_0093,Label_Group_93,0.82,APAC
SUPP_0094,Label_Group_94,0.91,EMEA
SUPP_0095,Label_Group_95,0.8,EMEA
SUPP_0096,Label_Group_96,0.81,EMEA
SUPP_0097,Label_Group_97,0.77,EMEA
SUPP_0098,Label_Group_98,0.61,EMEA
SUPP_0099,Label_Group_99,0.64,APAC
SUPP_0100,Label_Group_100,0.61,APAC
SUPP_0101,Label_Group_101,0.85,EMEA
SUPP_0102,Label_Group_102,0.73,LATAM
SUPP_0103,Label_Group_103,0.8,US
SUPP_0104,Label_Group_104,0.96,EMEA
SUPP_0105,Label_Group_105,0.7,LATAM
SUPP_0106,Label_Group_106,0.76,US
SUPP_0107,Label_Group_107,0.9,EMEA
SUPP_0108,Label_Group_108,0.69,EMEA
SUPP_0109,Label_Group_109,0.63,APAC
SUPP_0110,Label_Group_110,0.72,US
SUPP_0111,Label_Group_111,0.66,US
SUPP_0112,Label_Group_112,0.97,LATAM
SUPP_0113,Label_Group_113,0.92,APAC
SUPP_0114,Label_Group_114,0.85,APAC
SUPP_0115,Label_Group_115,0.95,APAC
SUPP_0116,Label_Group_116,0.92,APAC
SUPP_0117,Label_Group_117,0.67,US
SUPP_0118,Label_Group_118,0.96,US
SUPP_0119,Label_Group_119,0.82,EMEA
SUPP_0120,Label_Group_120,0.92,EMEA
SUPP_0121,Label_Group_121,0.96,APAC
SUPP_0122,Label_Group_122,0.73,APAC
SUPP_0123,Label_Group_123,0.64,APAC
SUPP_0124,Label_Group_124,0.69,EMEA
SUPP_0125,Label_Group_125,0.77,LATAM
SUPP_0126,Label_Group_126,0.93,LATAM
SUPP_0127,Label_Group_127,0.94,EMEA
SUPP_0128,Label_Group_128,0.6,EMEA
SUPP_0129,Label_Group_129,0.8,EMEA
SUPP_0130,Label_Group_130,0.77,EMEA
SUPP_0131,Label_Group_131,0.69,EMEA
SUPP_0132,Label_Group_132,0.65,EMEA
SUPP_0133,Label_Group_133,0.74,APAC
SUPP_0134,Label_Group_134,0.98,APAC
SUPP_0135,Label_Group_135,0.73,APAC
SUPP_0136,Label_Group_136,0.81,APAC
SUPP_0137,Label_Group_137,0.88,EMEA
SUPP_0138,Label_Group_138,0.75,LATAM
SUPP_0139,Label_Group_139,0.99,US
SUPP_0140,Label_Group_140,0.98,EMEA
SUPP_0141,Label_Group_141,0.7,US
SUPP_0142,Label_Group_142,0.8,LATAM
SUPP_0143,Label_Group_143,0.72,APAC
SUPP_0144,Label_Group_144,0.71,LATAM
SUPP_0145,Label_Group_145,0.61,EMEA
SUPP_0146,Label_Group_146,0.84,APAC
SUPP_0147,Label_Group_147,0.8,EMEA
SUPP_0148,Label_Group_148,0.62,APAC
SUPP_0149,Label_Group_149,0.71,US
SUPP_0150,Label_Group_150,0.96,US
SUPP_0151,Label_Group_151,0.7,US
SUPP_0152,Label_Group_152,0.66,LATAM
SUPP_0153,Label_Group_153,0.8,EMEA
SUPP_0154,Label_Group_154,0.99,LATAM
SUPP_0155,Label_Group_155,0.7,US
SUPP_0156,Label_Group_156,0.87,EMEA
SUPP_0157,Label_Group_157,0.9,US
SUPP_0158,Label_Group_158,0.7,LATAM
SUPP_0159,Label_Group_159,0.89,LATAM
SUPP_0160,Label_Group_160,0.75,LATAM
SUPP_0161,Label_Group_161,0.85,US
SUPP_0162,Label_Group_162,0.85,EMEA
SUPP_0163,Label_Group_163,0.81,EMEA
SUPP_0164,Label_Group_164,0.64,US
SUPP_0165,Label_Group_165,0.93,EMEA
SUPP_0166,Label_Group_166,0.73,US
SUPP_0167,Label_Group_167,0.67,EMEA
SUPP_0168,Label_Group_168,0.62,APAC
SUPP_0169,Label_Group_169,0.84,APAC
SUPP_0170,Label_Group_170,0.87,LATAM
SUPP_0171,Label_Group_171,0.61,APAC
SUPP_0172,Label_Group_172,0.8,APAC
SUPP_0173,Label_Group_173,0.69,APAC
SUPP_0174,Label_Group_174,0.86,US
SUPP_0175,Label_Group_175,0.67,APAC
SUPP_0176,Label_Group_176,0.88,APAC
SUPP_0177,Label_Group_177,0.75,LATAM
SUPP_0178,Label_Group_178,0.97,APAC
SUPP_0179,Label_Group_179,0.66,APAC
SUPP_0180,Label_Group_180,0.74,EMEA
SUPP_0181,Label_Group_181,0.65,LATAM
SUPP_0182,Label_Group_182,0.97,LATAM
SUPP_0183,Label_Group_183,0.95,LATAM
SUPP_0184,Label_Group_184,0.7,LATAM
SUPP_0185,Label_Group_185,0.86,LATAM
SUPP_0186,Label_Group_186,0.93,LATAM
SUPP_0187,Label_Group_187,0.82,US
SUPP_0188,Label_Group_188,0.81,APAC
SUPP_0189,Label_Group_189,0.7,LATAM
SUPP_0190,Label_Group_190,0.64,APAC
SUPP_0191,Label_Group_191,0.96,APAC
SUPP_0192,Label_Group_192,0.96,US
SUPP_0193,Label_Group_193,0.85,LATAM
SUPP_0194,Label_Group_194,0.74,EMEA
SUPP_0195,Label_Group_195,0.74,US
SUPP_0196,Label_Group_196,0.89,EMEA
SUPP_0197,Label_Group_197,0.96,APAC
SUPP_0198,Label_Group_198,0.95,APAC
SUPP_0199,Label_Group_199,0.91,US
SUPP_0200,Label_Group_200,0.86,US
SUPP_0201,Label_Group_201,0.63,EMEA
SUPP_0202,Label_Group_202,0.66,LATAM
SUPP_0203,Label_Group_203,0.96,EMEA
SUPP_0204,Label_Group_204,0.84,US
SUPP_0205,Label_Group_205,0.6,EMEA
SUPP_0206,Label_Group_206,0.64,US
SUPP_0207,Label_Group_207,0.87,EMEA
SUPP_0208,Label_Group_208,0.6,US
SUPP_0209,Label_Group_209,0.66,US
SUPP_0210,Label_Group_210,0.82,US
SUPP_0211,Label_Group_211,0.88,LATAM
SUPP_0212,Label_Group_212,0.86,EMEA
SUPP_0213,Label_Group_213,0.69,EMEA
SUPP_0214,Label_Group_214,0.88,EMEA
SUPP_0215,Label_Group_215,0.69,US
SUPP_0216,Label_Group_216,0.73,EMEA
SUPP_0217,Label_Group_217,0.9,EMEA
SUPP_0218,Label_Group_218,0.86,US
SUPP_0219,Label_Group_219,0.94,APAC
SUPP_0220,Label_Group_220,0.86,US
SUPP_0221,Label_Group_221,0.83,EMEA
SUPP_0222,Label_Group_222,0.64,US
SUPP_0223,Label_Group_223,0.75,APAC
SUPP_0224,Label_Group_224,0.71,US
SUPP_0225,Label_Group_225,0.7,EMEA
SUPP_0226,Label_Group_226,0.99,APAC
SUPP_0227,Label_Group_227,0.76,LATAM
SUPP_0228,Label_Group_228,0.96,EMEA
SUPP_0229,Label_Group_229,0.85,APAC
SUPP_0230,Label_Group_230,0.92,APAC
SUPP_0231,Label_Group_231,0.8,LATAM
SUPP_0232,Label_Group_232,0.83,US
SUPP_0233,Label_Group_233,0.8,US
SUPP_0234,Label_Group_234,0.68,EMEA
SUPP_0235,Label_Group_235,0.89,LATAM
SUPP_0236,Label_Group_236,0.71,US
SUPP_0237,Label_Group_237,0.61,LATAM
SUPP_0238,Label_Group_238,0.86,US
SUPP_0239,Label_Group_239,0.67,APAC
SUPP_0240,Label_Group_240,0.98,US
SUPP_0241,Label_Group_241,0.98,LATAM
SUPP_0242,Label_Group_242,0.97,APAC
SUPP_0243,Label_Group_243,0.75,APAC
SUPP_0244,Label_Group_244,0.61,APAC
SUPP_0245,Label_Group_245,0.97,LATAM
SUPP_0246,Label_Group_246,0.77,EMEA
SUPP_0247,Label_Group_247,0.99,EMEA
SUPP_0248,Label_Group_248,0.99,EMEA
SUPP_0249,Label_Group_249,0.94,LATAM
SUPP_0250,Label_Group_250,0.72,APAC
SUPP_0251,Label_Group_251,0.75,EMEA
SUPP_0252,Label_Group_252,0.94,LATAM
SUPP_0253,Label_Group_253,0.73,EMEA
SUPP_0254,Label_Group_254,0.67,US
SUPP_0255,Label_Group_255,0.82,EMEA
SUPP_0256,Label_Group_256,0.97,EMEA
SUPP_0257,Label_Group_257,0.88,APAC
SUPP_0258,Label_Group_258,0.83,LATAM
SUPP_0259,Label_Group_259,0.64,APAC
SUPP_0260,Label_Group_260,0.85,APAC
SUPP_0261,Label_Group_261,1.0,APAC
SUPP_0262,Label_Group_262,0.66,APAC
SUPP_0263,Label_Group_263,0.81,APAC
SUPP_0264,Label_Group_264,0.95,EMEA
SUPP_0265,Label_Group_265,0.9,APAC
SUPP_0266,Label_Group_266,0.88,APAC
SUPP_0267,Label_Group_267,0.88,LATAM
SUPP_0268,Label_Group_268,0.74,US
SUPP_0269,Label_Group_269,0.72,EMEA
SUPP_0270,Label_Group_270,0.92,EMEA
SUPP_0271,Label_Group_271,0.92,EMEA
SUPP_0272,Label_Group_272,0.95,APAC
SUPP_0273,Label_Group_273,0.97,APAC
SUPP_0274,Label_Group_274,0.8,APAC
SUPP_0275,Label_Group_275,0.8,LATAM
SUPP_0276,Label_Group_276,0.92,US
SUPP_0277,Label_Group_277,0.86,APAC
SUPP_0278,Label_Group_278,0.88,US
SUPP_0279,Label_Group_279,0.92,LATAM
SUPP_0280,Label_Group_280,0.96,EMEA
SUPP_0281,Label_Group_281,0.74,APAC
SUPP_0282,Label_Group_282,0.75,US
SUPP_0283,Label_Group_283,0.64,US
SUPP_0284,Label_Group_284,0.83,APAC
SUPP_0285,Label_Group_285,0.61,EMEA
SUPP_0286,Label_Group_286,0.79,EMEA
SUPP_0287,Label_Group_287,0.82,EMEA
SUPP_0288,Label_Group_288,0.71,LATAM
SUPP_0289,Label_Group_289,0.84,US
SUPP_0290,Label_Group_290,0.61,US
SUPP_0291,Label_Group_291,0.61,US
SUPP_0292,Label_Group_292,0.93,LATAM
SUPP_0293,Label_Group_293,0.74,US
SUPP_0294,Label_Group_294,0.65,LATAM
SUPP_0295,Label_Group_295,0.81,EMEA
SUPP_0296,Label_Group_296,0.91,APAC
SUPP_0297,Label_Group_297,0.69,US
SUPP_0298,Label_Group_298,0.85,US
SUPP_0299,Label_Group_299,0.63,EMEA
SUPP_0300,Label_Group_300,0.62,APAC
SUPP_0301,Label_Group_301,0.81,LATAM
SUPP_0302,Label_Group_302,0.82,APAC
SUPP_0303,Label_Group_303,0.85,EMEA
SUPP_0304,Label_Group_304,0.89,EMEA
SUPP_0305,Label_Group_305,0.99,APAC
SUPP_0306,Label_Group_306,0.81,LATAM
SUPP_0307,Label_Group_307,0.73,LATAM
SUPP_0308,Label_Group_308,0.92,US
SUPP_0309,Label_Group_309,0.71,LATAM
SUPP_0310,Label_Group_310,0.78,APAC
SUPP_0311,Label_Group_311,0.63,EMEA
SUPP_0312,Label_Group_312,0.61,US
SUPP_0313,Label_Group_313,0.99,US
SUPP_0314,Label_Group_314,0.93,EMEA
SUPP_0315,Label_Group_315,0.88,LATAM
SUPP_0316,Label_Group_316,0.76,EMEA
SUPP_0317,Label_Group_317,0.67,LATAM
SUPP_0318,Label_Group_318,0.66,EMEA
SUPP_0319,Label_Group_319,0.7,APAC
SUPP_0320,Label_Group_320,0.82,LATAM
SUPP_0321,Label_Group_321,0.89,APAC
SUPP_0322,Label_Group_322,0.86,US
SUPP_0323,Label_Group_323,0.71,EMEA
SUPP_0324,Label_Group_324,0.98,US
SUPP_0325,Label_Group_325,0.9,US
SUPP_0326,Label_Group_326,0.82,US
SUPP_0327,Label_Group_327,0.84,US
SUPP_0328,Label_Group_328,0.77,EMEA
SUPP_0329,Label_Group_329,0.7,US
SUPP_0330,Label_Group_330,0.74,EMEA
SUPP_0331,Label_Group_331,0.9,EMEA
SUPP_0332,Label_Group_332,0.61,APAC
SUPP_0333,Label_Group_333,0.65,LATAM
SUPP_0334,Label_Group_334,0.62,LATAM
SUPP_0335,Label_Group_335,0.62,EMEA
SUPP_0336,Label_Group_336,0.94,APAC
SUPP_0337,Label_Group_337,0.88,EMEA
SUPP_0338,Label_Group_338,0.79,EMEA
SUPP_0339,Label_Group_339,0.64,EMEA
SUPP_0340,Label_Group_340,0.8,APAC
SUPP_0341,Label_Group_341,0.79,LATAM
SUPP_0342,Label_Group_342,0.67,APAC
SUPP_0343,Label_Group_343,0.77,US
SUPP_0344,Label_Group_344,0.76,APAC
SUPP_0345,Label_Group_345,0.85,APAC
SUPP_0346,Label_Group_346,0.85,APAC
SUPP_0347,Label_Group_347,0.62,APAC
SUPP_0348,Label_Group_348,0.75,LATAM
SUPP_0349,Label_Group_349,0.85,US
SUPP_0350,Label_Group_350,0.8,LATAM
SUPP_0351,Label_Group_351,0.94,LATAM
SUPP_0352,Label_Group_352,0.86,APAC
SUPP_0353,Label_Group_353,0.67,EMEA
SUPP_0354,Label_Group_354,0.63,EMEA
SUPP_0355,Label_Group_355,0.86,LATAM
SUPP_0356,Label_Group_356,0.61,LATAM
SUPP_0357,Label_Group_357,0.83,APAC
SUPP_0358,Label_Group_358,0.98,LATAM
SUPP_0359,Label_Group_359,0.83,APAC
SUPP_0360,Label_Group_360,0.76,EMEA
SUPP_0361,Label_Group_361,0.86,EMEA
SUPP_0362,Label_Group_362,0.78,US
SUPP_0363,Label_Group_363,0.82,EMEA
SUPP_0364,Label_Group_364,0.98,LATAM
SUPP_0365,Label_Group_365,0.75,EMEA
SUPP_0366,Label_Group_366,0.98,APAC
SUPP_0367,Label_Group_367,0.96,EMEA
SUPP_0368,Label_Group_368,0.68,US
SUPP_0369,Label_Group_369,0.63,EMEA
SUPP_0370,Label_Group_370,0.64,APAC
SUPP_0371,Label_Group_371,0.61,APAC
SUPP_0372,Label_Group_372,0.64,LATAM
SUPP_0373,Label_Group_373,0.87,EMEA
SUPP_0374,Label_Group_374,0.63,APAC
SUPP_0375,Label_Group_375,0.73,US
SUPP_0376,Label_Group_376,0.94,LATAM
SUPP_0377,Label_Group_377,0.61,US
SUPP_0378,Label_Group_378,0.93,EMEA
SUPP_0379,Label_Group_379,0.71,EMEA
SUPP_0380,Label_Group_380,0.65,EMEA
SUPP_0381,Label_Group_381,0.88,LATAM
SUPP_0382,Label_Group_382,0.85,APAC
SUPP_0383,Label_Group_383,0.95,LATAM
SUPP_0384,Label_Group_384,0.89,US
SUPP_0385,Label_Group_385,0.92,LATAM
SUPP_0386,Label_Group_386,0.71,US
SUPP_0387,Label_Group_387,0.67,LATAM
SUPP_0388,Label_Group_388,0.9,APAC
SUPP_0389,Label_Group_389,0.92,US
SUPP_0390,Label_Group_390,1.0,EMEA
SUPP_0391,Label_Group_391,0.77,EMEA
SUPP_0392,Label_Group_392,0.75,LATAM
SUPP_0393,Label_Group_393,0.91,EMEA
SUPP_0394,Label_Group_394,0.74,US
SUPP_0395,Label_Group_395,0.97,EMEA
SUPP_0396,Label_Group_396,0.94,APAC
SUPP_0397,Label_Group_397,0.77,APAC
SUPP_0398,Label_Group_398,0.9,LATAM
SUPP_0399,Label_Group_399,0.9,US
SUPP_0400,Label_Group_400,0.64,APAC
SUPP_0401,Label_Group_401,0.96,APAC
SUPP_0402,Label_Group_402,0.8,US
SUPP_0403,Label_Group_403,0.93,EMEA
SUPP_0404,Label_Group_404,0.73,EMEA
SUPP_0405,Label_Group_405,0.96,LATAM
SUPP_0406,Label_Group_406,0.76,EMEA
SUPP_0407,Label_Group_407,0.6,US
SUPP_0408,Label_Group_408,0.96,APAC
SUPP_0409,Label_Group_409,0.64,EMEA
SUPP_0410,Label_Group_410,0.73,LATAM
SUPP_0411,Label_Group_411,0.98,EMEA
SUPP_0412,Label_Group_412,0.98,US
SUPP_0413,Label_Group_413,0.83,LATAM
SUPP_0414,Label_Group_414,0.85,EMEA
SUPP_0415,Label_Group_415,0.78,LATAM
SUPP_0416,Label_Group_416,0.72,US
SUPP_0417,Label_Group_417,0.73,APAC
SUPP_0418,Label_Group_418,0.87,US
SUPP_0419,Label_Group_419,0.9,US
SUPP_0420,Label_Group_420,0.92,US
SUPP_0421,Label_Group_421,0.92,US
SUPP_0422,Label_Group_422,0.64,APAC
SUPP_0423,Label_Group_423,0.8,APAC
SUPP_0424,Label_Group_424,0.62,LATAM
SUPP_0425,Label_Group_425,0.82,EMEA
SUPP_0426,Label_Group_426,0.78,APAC
SUPP_0427,Label_Group_427,0.96,APAC
SUPP_0428,Label_Group_428,0.74,EMEA
SUPP_0429,Label_Group_429,0.65,APAC
SUPP_0430,Label_Group_430,0.66,US
SUPP_0431,Label_Group_431,0.9,US
SUPP_0432,Label_Group_432,0.85,EMEA
SUPP_0433,Label_Group_433,0.64,LATAM
SUPP_0434,Label_Group_434,0.63,LATAM
SUPP_0435,Label_Group_435,0.88,EMEA
SUPP_0436,Label_Group_436,0.63,EMEA
SUPP_0437,Label_Group_437,0.93,US
SUPP_0438,Label_Group_438,0.88,LATAM
SUPP_0439,Label_Group_439,0.63,APAC
SUPP_0440,Label_Group_440,0.63,US
SUPP_0441,Label_Group_441,0.99,EMEA
SUPP_0442,Label_Group_442,0.75,LATAM
SUPP_0443,Label_Group_443,0.75,APAC
SUPP_0444,Label_Group_444,0.93,APAC
SUPP_0445,Label_Group_445,0.98,US
SUPP_0446,Label_Group_446,0.99,LATAM
SUPP_0447,Label_Group_447,0.9,LATAM
SUPP_0448,Label_Group_448,0.75,EMEA
SUPP_0449,Label_Group_449,0.63,LATAM
SUPP_0450,Label_Group_450,0.91,LATAM
SUPP_0451,Label_Group_451,0.82,US
SUPP_0452,Label_Group_452,0.77,LATAM
SUPP_0453,Label_Group_453,0.96,APAC
SUPP_0454,Label_Group_454,0.64,US
SUPP_0455,Label_Group_455,0.8,US
SUPP_0456,Label_Group_456,0.6,EMEA
SUPP_0457,Label_Group_457,0.79,LATAM
SUPP_0458,Label_Group_458,0.62,EMEA
SUPP_0459,Label_Group_459,0.65,APAC
SUPP_0460,Label_Group_460,0.65,US
SUPP_0461,Label_Group_461,0.86,US
SUPP_0462,Label_Group_462,0.9,US
SUPP_0463,Label_Group_463,0.83,APAC
SUPP_0464,Label_Group_464,0.98,APAC
SUPP_0465,Label_Group_465,0.75,EMEA
SUPP_0466,Label_Group_466,0.71,EMEA
SUPP_0467,Label_Group_467,0.95,EMEA
SUPP_0468,Label_Group_468,0.69,LATAM
SUPP_0469,Label_Group_469,0.99,US
SUPP_0470,Label_Group_470,0.6,US
SUPP_0471,Label_Group_471,0.99,EMEA
SUPP_0472,Label_Group_472,0.62,US
SUPP_0473,Label_Group_473,0.96,EMEA
SUPP_0474,Label_Group_474,0.81,LATAM
SUPP_0475,Label_Group_475,1.0,LATAM
SUPP_0476,Label_Group_476,0.63,APAC
SUPP_0477,Label_Group_477,0.82,LATAM
SUPP_0478,Label_Group_478,0.99,EMEA
SUPP_0479,Label_Group_479,0.81,LATAM
SUPP_0480,Label_Group_480,0.85,APAC
SUPP_0481,Label_Group_481,0.88,US
SUPP_0482,Label_Group_482,0.78,EMEA
SUPP_0483,Label_Group_483,0.85,US
SUPP_0484,Label_Group_484,0.83,APAC
SUPP_0485,Label_Group_485,0.96,APAC
SUPP_0486,Label_Group_486,0.62,APAC
SUPP_0487,Label_Group_487,0.71,US
SUPP_0488,Label_Group_488,0.98,US
SUPP_0489,Label_Group_489,0.96,US
SUPP_0490,Label_Group_490,0.78,US
SUPP_0491,Label_Group_491,0.85,APAC
SUPP_0492,Label_Group_492,0.71,APAC
SUPP_0493,Label_Group_493,0.68,EMEA
SUPP_0494,Label_Group_494,0.79,EMEA
SUPP_0495,Label_Group_495,0.74,US
SUPP_0496,Label_Group_496,0.83,LATAM
SUPP_0497,Label_Group_497,0.63,LATAM
SUPP_0498,Label_Group_498,0.99,APAC
SUPP_0499,Label_Group_499,0.99,APAC
